numero,estado,nota
57,VERIFICADA,Identificada visualmente y archivada
58,VERIFICADA,Identificada visualmente y archivada
59,VERIFICADA,Identificada visualmente y archivada
60,VERIFICADA,Identificada visualmente y archivada
61,VERIFICADA,Identificada visualmente y archivada
62,VERIFICADA,Identificada visualmente y archivada
63,VERIFICADA,Identificada visualmente y archivada
64,VERIFICADA,Identificada visualmente y archivada
65,VERIFICADA,Identificada visualmente y archivada
66,VERIFICADA,Identificada visualmente y archivada
67,VERIFICADA,Identificada visualmente y archivada
68,VERIFICADA,Identificada visualmente y archivada
69,VERIFICADA,Identificada visualmente y archivada
70,VERIFICADA,Identificada visualmente y archivada
71,VERIFICADA,Identificada visualmente y archivada
72,VERIFICADA,Identificada visualmente y archivada
73,VERIFICADA,Identificada visualmente y archivada
74,VERIFICADA,Identificada visualmente y archivada
75,VERIFICADA,Identificada visualmente y archivada
76,VERIFICADA,Identificada visualmente y archivada
77,VERIFICADA,Identificada visualmente y archivada
78,VERIFICADA,Identificada visualmente y archivada
79,VERIFICADA,Identificada visualmente y archivada
80,VERIFICADA,Identificada visualmente y archivada
81,VERIFICADA,Identificada visualmente y archivada
82,VERIFICADA,Identificada visualmente y archivada
83,VERIFICADA,Identificada visualmente y archivada
84,VERIFICADA,Identificada visualmente y archivada
85,VERIFICADA,Identificada visualmente y archivada
86,VERIFICADA,Identificada visualmente y archivada
87,VERIFICADA,Identificada visualmente y archivada
88,VERIFICADA,Identificada visualmente y archivada
89,VERIFICADA,Identificada visualmente y archivada
90,VERIFICADA,Identificada visualmente y archivada
91,VERIFICADA,Identificada visualmente y archivada
92,VERIFICADA,Identificada visualmente y archivada
93,FALTA,Elevaciones laterales inclinadas
94,VERIFICADA,Identificada visualmente y archivada
95,VERIFICADA,Identificada visualmente y archivada
96,FALTA,Elevaciones laterales en máquina
97,VERIFICADA,Identificada visualmente y archivada
98,VERIFICADA,Identificada visualmente y archivada
99,VERIFICADA,Identificada visualmente y archivada
100,VERIFICADA,Identificada visualmente y archivada
101,VERIFICADA,Identificada visualmente y archivada
102,VERIFICADA,Identificada visualmente y archivada
103,VERIFICADA,Identificada visualmente y archivada
104,VERIFICADA,Identificada visualmente y archivada
105,VERIFICADA,Identificada visualmente y archivada
106,VERIFICADA,Identificada visualmente y archivada
107,VERIFICADA,Identificada visualmente y archivada
108,VERIFICADA,Identificada visualmente y archivada
109,VERIFICADA,Identificada visualmente y archivada
110,VERIFICADA,Identificada visualmente y archivada
111,VERIFICADA,Identificada visualmente y archivada
112,VERIFICADA,Identificada visualmente y archivada
113,VERIFICADA,Identificada visualmente y archivada
114,VERIFICADA,Identificada visualmente y archivada
115,VERIFICADA,Identificada visualmente y archivada
116,VERIFICADA,Identificada visualmente y archivada
117,VERIFICADA,Identificada visualmente y archivada
118,VERIFICADA,Identificada visualmente y archivada
119,VERIFICADA,Identificada visualmente y archivada
120,VERIFICADA,Identificada visualmente y archivada
121,VERIFICADA,Identificada visualmente y archivada
122,VERIFICADA,Identificada visualmente y archivada
123,VERIFICADA,Identificada visualmente y archivada
124,VERIFICADA,Identificada visualmente y archivada
125,VERIFICADA,Identificada visualmente y archivada
126,VERIFICADA,Identificada visualmente y archivada
127,VERIFICADA,Identificada visualmente y archivada
128,VERIFICADA,Identificada visualmente y archivada
129,VERIFICADA,Identificada visualmente y archivada
130,VERIFICADA,Identificada visualmente y archivada
131,VERIFICADA,Identificada visualmente y archivada
132,VERIFICADA,Identificada visualmente y archivada
133,VERIFICADA,Identificada visualmente y archivada
134,VERIFICADA,Identificada visualmente y archivada
135,VERIFICADA,Identificada visualmente y archivada
136,VERIFICADA,Identificada visualmente y archivada
137,VERIFICADA,Identificada visualmente y archivada
138,VERIFICADA,Identificada visualmente y archivada
139,VERIFICADA,Identificada visualmente y archivada
140,VERIFICADA,Identificada visualmente y archivada
141,VERIFICADA,Identificada visualmente y archivada
142,VERIFICADA,Identificada visualmente y archivada
143,VERIFICADA,Identificada visualmente y archivada
144,VERIFICADA,Identificada visualmente y archivada
145,VERIFICADA,Identificada visualmente y archivada
146,VERIFICADA,Identificada visualmente y archivada
147,VERIFICADA,Identificada visualmente y archivada
148,VERIFICADA,Identificada visualmente y archivada
149,VERIFICADA,Identificada visualmente y archivada
150,VERIFICADA,Identificada visualmente y archivada
151,VERIFICADA,Identificada visualmente y archivada
152,VERIFICADA,Identificada visualmente y archivada
153,VERIFICADA,Identificada visualmente y archivada
154,VERIFICADA,Identificada visualmente y archivada
155,VERIFICADA,Identificada visualmente y archivada
156,VERIFICADA,Identificada visualmente y archivada
157,VERIFICADA,Identificada visualmente y archivada
158,VERIFICADA,Identificada visualmente y archivada
159,VERIFICADA,Identificada visualmente y archivada
160,VERIFICADA,Identificada visualmente y archivada
161,VERIFICADA,Identificada visualmente y archivada
162,VERIFICADA,Identificada visualmente y archivada
163,VERIFICADA,Identificada visualmente y archivada
164,VERIFICADA,Identificada visualmente y archivada
165,VERIFICADA,Identificada visualmente y archivada
166,VERIFICADA,Identificada visualmente y archivada
167,VERIFICADA,Identificada visualmente y archivada
168,VERIFICADA,Identificada visualmente y archivada
169,FALTA,Extensión de muñeca con barra
170,VERIFICADA,Identificada visualmente y archivada
171,VERIFICADA,Identificada visualmente y archivada
172,VERIFICADA,Identificada visualmente y archivada
173,VERIFICADA,Identificada visualmente y archivada
174,VERIFICADA,Identificada visualmente y archivada
175,VERIFICADA,Identificada visualmente y archivada
176,VERIFICADA,Identificada visualmente y archivada
177,VERIFICADA,Identificada visualmente y archivada
178,VERIFICADA,Identificada visualmente y archivada
179,VERIFICADA,Identificada visualmente y archivada
180,VERIFICADA,Identificada visualmente y archivada
181,VERIFICADA,Identificada visualmente y archivada
182,VERIFICADA,Identificada visualmente y archivada
183,VERIFICADA,Identificada visualmente y archivada
184,VERIFICADA,Identificada visualmente y archivada
185,VERIFICADA,Identificada visualmente y archivada
186,VERIFICADA,Identificada visualmente y archivada
187,VERIFICADA,Identificada visualmente y archivada
188,VERIFICADA,Identificada visualmente y archivada
189,VERIFICADA,Identificada visualmente y archivada
190,VERIFICADA,Identificada visualmente y archivada
191,VERIFICADA,Identificada visualmente y archivada
192,VERIFICADA,Identificada visualmente y archivada
193,VERIFICADA,Identificada visualmente y archivada
194,VERIFICADA,Identificada visualmente y archivada
195,VERIFICADA,Identificada visualmente y archivada
196,VERIFICADA,Identificada visualmente y archivada
197,VERIFICADA,Identificada visualmente y archivada
198,VERIFICADA,Identificada visualmente y archivada
199,VERIFICADA,Identificada visualmente y archivada
200,VERIFICADA,Identificada visualmente y archivada
201,VERIFICADA,Identificada visualmente y archivada
202,VERIFICADA,Identificada visualmente y archivada
203,VERIFICADA,Identificada visualmente y archivada
204,VERIFICADA,Identificada visualmente y archivada
205,VERIFICADA,Identificada visualmente y archivada
206,VERIFICADA,Identificada visualmente y archivada
207,VERIFICADA,Identificada visualmente y archivada
208,VERIFICADA,Identificada visualmente y archivada
209,VERIFICADA,Identificada visualmente y archivada
210,VERIFICADA,Identificada visualmente y archivada
211,VERIFICADA,Identificada visualmente y archivada
212,VERIFICADA,Identificada visualmente y archivada
213,VERIFICADA,Identificada visualmente y archivada
214,VERIFICADA,Identificada visualmente y archivada
215,VERIFICADA,Identificada visualmente y archivada
216,VERIFICADA,Identificada visualmente y archivada
217,VERIFICADA,Identificada visualmente y archivada
218,VERIFICADA,Identificada visualmente y archivada
219,VERIFICADA,Identificada visualmente y archivada
220,VERIFICADA,Identificada visualmente y archivada
221,VERIFICADA,Identificada visualmente y archivada
222,VERIFICADA,Identificada visualmente y archivada
223,VERIFICADA,Identificada visualmente y archivada
224,VERIFICADA,Identificada visualmente y archivada
225,VERIFICADA,Identificada visualmente y archivada
226,VERIFICADA,Identificada visualmente y archivada
227,VERIFICADA,Identificada visualmente y archivada
228,VERIFICADA,Identificada visualmente y archivada
229,FALTA,Swiss ball leg curl
230,VERIFICADA,Identificada visualmente y archivada
231,VERIFICADA,Identificada visualmente y archivada
232,VERIFICADA,Identificada visualmente y archivada
233,VERIFICADA,Identificada visualmente y archivada
234,VERIFICADA,Identificada visualmente y archivada
235,VERIFICADA,Identificada visualmente y archivada
236,VERIFICADA,Identificada visualmente y archivada
237,VERIFICADA,Identificada visualmente y archivada
238,VERIFICADA,Identificada visualmente y archivada
239,VERIFICADA,Identificada visualmente y archivada
240,VERIFICADA,Identificada visualmente y archivada
241,FALTA,Abducción con banda
242,VERIFICADA,Identificada visualmente y archivada
243,VERIFICADA,Identificada visualmente y archivada
244,VERIFICADA,Identificada visualmente y archivada
245,VERIFICADA,Identificada visualmente y archivada
246,VERIFICADA,Identificada visualmente y archivada
247,VERIFICADA,Identificada visualmente y archivada
248,VERIFICADA,Identificada visualmente y archivada
249,VERIFICADA,Identificada visualmente y archivada
250,VERIFICADA,Identificada visualmente y archivada
251,VERIFICADA,Identificada visualmente y archivada
252,VERIFICADA,Identificada visualmente y archivada
253,VERIFICADA,Identificada visualmente y archivada
254,VERIFICADA,Identificada visualmente y archivada
255,VERIFICADA,Identificada visualmente y archivada
256,VERIFICADA,Identificada visualmente y archivada
257,VERIFICADA,Identificada visualmente y archivada
258,VERIFICADA,Identificada visualmente y archivada
259,VERIFICADA,Identificada visualmente y archivada
260,VERIFICADA,Identificada visualmente y archivada
261,VERIFICADA,Identificada visualmente y archivada
262,VERIFICADA,Identificada visualmente y archivada
263,VERIFICADA,Identificada visualmente y archivada
264,VERIFICADA,Identificada visualmente y archivada
265,VERIFICADA,Identificada visualmente y archivada
266,VERIFICADA,Identificada visualmente y archivada
267,VERIFICADA,Identificada visualmente y archivada
268,VERIFICADA,Identificada visualmente y archivada
269,VERIFICADA,Identificada visualmente y archivada
270,VERIFICADA,Identificada visualmente y archivada
271,VERIFICADA,Identificada visualmente y archivada
272,VERIFICADA,Identificada visualmente y archivada
273,VERIFICADA,Identificada visualmente y archivada
274,VERIFICADA,Identificada visualmente y archivada
275,VERIFICADA,Identificada visualmente y archivada
276,VERIFICADA,Identificada visualmente y archivada
277,VERIFICADA,Identificada visualmente y archivada
278,VERIFICADA,Identificada visualmente y archivada
279,VERIFICADA,Identificada visualmente y archivada
280,VERIFICADA,Identificada visualmente y archivada
281,VERIFICADA,Identificada visualmente y archivada
282,VERIFICADA,Identificada visualmente y archivada
283,VERIFICADA,Identificada visualmente y archivada
284,VERIFICADA,Identificada visualmente y archivada
285,VERIFICADA,Identificada visualmente y archivada
286,VERIFICADA,Identificada visualmente y archivada
287,VERIFICADA,Identificada visualmente y archivada
288,VERIFICADA,Identificada visualmente y archivada
289,VERIFICADA,Identificada visualmente y archivada
290,VERIFICADA,Identificada visualmente y archivada
291,VERIFICADA,Identificada visualmente y archivada
292,VERIFICADA,Identificada visualmente y archivada
293,VERIFICADA,Identificada visualmente y archivada
294,VERIFICADA,Identificada visualmente y archivada
295,VERIFICADA,Identificada visualmente y archivada
296,VERIFICADA,Identificada visualmente y archivada
297,VERIFICADA,Identificada visualmente y archivada
298,VERIFICADA,Identificada visualmente y archivada
299,VERIFICADA,Identificada visualmente y archivada
300,VERIFICADA,Identificada visualmente y archivada
301,VERIFICADA,Identificada visualmente y archivada
302,VERIFICADA,Identificada visualmente y archivada
303,VERIFICADA,Identificada visualmente y archivada
304,VERIFICADA,Identificada visualmente y archivada
305,VERIFICADA,Identificada visualmente y archivada
306,VERIFICADA,Identificada visualmente y archivada
307,VERIFICADA,Identificada visualmente y archivada
308,VERIFICADA,Identificada visualmente y archivada
309,VERIFICADA,Identificada visualmente y archivada
310,VERIFICADA,Identificada visualmente y archivada
311,VERIFICADA,Identificada visualmente y archivada
312,VERIFICADA,Identificada visualmente y archivada
313,VERIFICADA,Identificada visualmente y archivada
314,FALTA,Encogimientos en máquina
315,VERIFICADA,Identificada visualmente y archivada
316,VERIFICADA,Identificada visualmente y archivada
317,VERIFICADA,Identificada visualmente y archivada
318,VERIFICADA,Identificada visualmente y archivada
319,VERIFICADA,Identificada visualmente y archivada
320,VERIFICADA,Identificada visualmente y archivada
321,VERIFICADA,Identificada visualmente y archivada
322,VERIFICADA,Identificada visualmente y archivada
323,VERIFICADA,Identificada visualmente y archivada
324,VERIFICADA,Identificada visualmente y archivada
325,VERIFICADA,Identificada visualmente y archivada
326,VERIFICADA,Identificada visualmente y archivada
327,VERIFICADA,Identificada visualmente y archivada
328,VERIFICADA,Identificada visualmente y archivada
329,VERIFICADA,Identificada visualmente y archivada
330,VERIFICADA,Identificada visualmente y archivada
331,VERIFICADA,Identificada visualmente y archivada
332,VERIFICADA,Identificada visualmente y archivada
333,VERIFICADA,Identificada visualmente y archivada
334,VERIFICADA,Identificada visualmente y archivada
335,VERIFICADA,Identificada visualmente y archivada
336,VERIFICADA,Identificada visualmente y archivada
337,VERIFICADA,Identificada visualmente y archivada
338,VERIFICADA,Identificada visualmente y archivada
339,VERIFICADA,Identificada visualmente y archivada
340,VERIFICADA,Identificada visualmente y archivada
341,VERIFICADA,Identificada visualmente y archivada
342,VERIFICADA,Identificada visualmente y archivada
343,VERIFICADA,Identificada visualmente y archivada
344,VERIFICADA,Identificada visualmente y archivada
345,VERIFICADA,Identificada visualmente y archivada
346,VERIFICADA,Identificada visualmente y archivada
347,VERIFICADA,Identificada visualmente y archivada
348,VERIFICADA,Identificada visualmente y archivada
349,VERIFICADA,Identificada visualmente y archivada
350,VERIFICADA,Identificada visualmente y archivada
351,VERIFICADA,Identificada visualmente y archivada
352,VERIFICADA,Identificada visualmente y archivada
353,VERIFICADA,Identificada visualmente y archivada
354,VERIFICADA,Identificada visualmente y archivada
355,VERIFICADA,Identificada visualmente y archivada
356,VERIFICADA,Identificada visualmente y archivada
357,VERIFICADA,Identificada visualmente y archivada
358,VERIFICADA,Identificada visualmente y archivada
359,VERIFICADA,Identificada visualmente y archivada
360,VERIFICADA,Identificada visualmente y archivada
361,VERIFICADA,Identificada visualmente y archivada
362,VERIFICADA,Identificada visualmente y archivada
363,VERIFICADA,Identificada visualmente y archivada
364,VERIFICADA,Identificada visualmente y archivada
365,VERIFICADA,Identificada visualmente y archivada
